"date","state","city","address","num_killed","num_injured","lat","long"
"December 31, 2018","Ohio","Cleveland","4462 Denison Ave",3,2,41.49932,-81.6943605
"December 29, 2018","Ohio","Lima","904 S Main St",1,3,40.742551,-84.1052256
"December 28, 2018","Missouri","Saint Charles","150 Whetstone Dr",4,1,38.7881062,-90.4974359
"December 24, 2018","Louisiana","Lutcher","2176 Main St",2,2,30.0404796,-90.6989797
"December 23, 2018","Missouri","Springfield","1042 W College St",0,7,37.2089572,-93.2922989
"December 22, 2018","Nevada","Las Vegas","3528 S Maryland Pkwy",0,4,36.1699412,-115.1398296
"December 18, 2018","Maryland","Baltimore","3942 Park Heights Ave",0,5,39.2903848,-76.6121893
"December 15, 2018","Florida","Miami","239 NW 16th St",0,5,25.7616798,-80.1917902
"December 14, 2018","Colorado","Colorado Springs","700 block of Geiger Ct",1,3,38.8338816,-104.8213634
"December 13, 2018","Pennsylvania","Philadelphia","4505 N Broad St",0,4,39.9525839,-75.1652215
"December 11, 2018","Louisiana","Natchitoches","Caspari St and University Pkwy",1,3,31.7607195,-93.0862749
"December 9, 2018","North Carolina","Laurinburg","Lees Mill Rd",1,3,34.7740494,-79.4628248
"December 9, 2018","Wisconsin","Madison","3554 E Washington Ave",0,4,43.0730517,-89.4012302
"December 8, 2018","California","Inglewood","801 S Inglewood Ave",0,5,33.9616801,-118.3531311
"December 8, 2018","New York","Corona (Queens)","89-25 130th St",0,5,40.7449859,-73.8642613
"December 1, 2018","Florida","Miami","NW Fifth Ave and NW Eighth St",0,5,25.7616798,-80.1917902
"November 26, 2018","Tennessee","Powell","Tammy Dr",0,4,36.0318578,-84.027655
"November 25, 2018","Alabama","Demopolis","Floyd St and Field St",2,2,32.5176361,-87.836402
"November 25, 2018","Texas","Houston","4500 block of Yale St",1,3,29.7604267,-95.3698028
"November 25, 2018","California","Oakland","1000 block of 24th St",0,4,37.8043637,-122.2711137
"November 23, 2018","Florida","Miami","5801 NW 27th Ave",2,5,25.7616798,-80.1917902
"November 22, 2018","Indiana","Fort Wayne","6100 block of Downingtown Dr",3,2,41.079273,-85.1393513
"November 21, 2018","Missouri","Saint Louis","4200 block of Shreve Ave",0,4,38.6270025,-90.1994042
"November 19, 2018","Pennsylvania","Philadelphia","5100 block of Malcolm St",4,0,39.9525839,-75.1652215
"November 19, 2018","Colorado","Denver","1200 21st Street",1,4,39.7392358,-104.990251
"November 18, 2018","California","Los Angeles (Watts)","95th St and Defiance Ave",1,4,33.9386361,-118.2380432
"November 16, 2018","Arkansas","Little Rock","4405  W 14th St",3,1,34.7464809,-92.2895948
"November 14, 2018","Louisiana","Baton Rouge","4800 block of Gus Young Ave",3,1,30.4514677,-91.1871466
"November 13, 2018","New Mexico","Gallup","CR 1 and Defiance Draw Rd",4,1,35.5280783,-108.7425843
"November 13, 2018","Indiana","Indianapolis","2007 Blue Pine Ln",2,2,39.768403,-86.158068
"November 12, 2018","North Carolina","Dunn","4640 Woods Crossroads Rd",3,1,35.3062743,-78.6089028
"November 11, 2018","Arizona","Globe","598 N Broad St",3,1,33.3942223,-110.7864984
"November 7, 2018","California","Thousand Oaks","99 Rolling Oaks Dr",13,2,34.1705609,-118.8375937
"November 3, 2018","New York","Watertown","136 Franklin St",0,5,43.9747838,-75.9107565
"November 2, 2018","California","Long Beach (North Long Beach)","5800 block of Brayton Ave",0,4,33.8640647,-118.1766294
"November 2, 2018","Florida","Tallahassee","1950 Thomasville Rd",3,5,30.4382559,-84.2807329
"November 1, 2018","Minnesota","Minneapolis","3400 block of Girard Ave N",0,5,44.977753,-93.2650108
"November 1, 2018","Missouri","Springfield","906 E Locust St",2,2,37.2089572,-93.2922989
"October 31, 2018","Michigan","Detroit","19000 block of Langholm St",1,3,42.331427,-83.0457538
"October 30, 2018","California","Vallejo","Woodrow Ave and Reis Ave",2,3,38.1040864,-122.2566367
"October 30, 2018","California","Los Angeles","65th Place and Vermont Avenue",0,5,34.0522342,-118.2436849
"October 29, 2018","California","Riverside","3252 Mission Inn Ave",0,7,33.9806005,-117.3754942
"October 28, 2018","Arkansas","El Dorado","2 Whites Quarters",2,2,33.20763,-92.6662674
"October 27, 2018","Tennessee","Memphis","4275 Ladyslipper",0,5,35.1495343,-90.0489801
"October 27, 2018","Pennsylvania","Pittsburgh","5898 Wilkins Ave",11,7,40.4406248,-79.9958864
"October 26, 2018","New Jersey","Jersey City","77 Brinkerhoff St",1,3,40.7177545,-74.0431435
"October 24, 2018","Illinois","Chicago","6200 block of S King Dr",0,5,41.8781136,-87.6297982
"October 22, 2018","Illinois","Chicago","9231 S Cottage Grove Av",0,6,41.8781136,-87.6297982
"October 21, 2018","Florida","Jacksonville","900 block of A Philip Randolph Blvd",1,5,30.3321838,-81.655651
"October 21, 2018","Washington","Lakewood","8722 S Tacoma Way",1,3,47.1717649,-122.518458
"October 16, 2018","Georgia","Atlanta","Broad St",0,4,33.7489954,-84.3879824
"October 15, 2018","Tennessee","Columbia","1075 Carters Creek Pike",5,0,35.6150716,-87.0352831
"October 14, 2018","Nevada","Las Vegas","2815 W Lake Mead Blvd",3,1,36.1699412,-115.1398296
"October 14, 2018","Texas","Fort Worth","5310 E Rosedale St",0,4,32.7554883,-97.3307658
"October 14, 2018","California","Palo Alto (East Palo Alto)","2500 block of Pulgas Ave",2,2,37.4688273,-122.1410751
"October 13, 2018","Missouri","Saint Louis","400 block of Midlothian Road",0,4,38.6270025,-90.1994042
"October 13, 2018","Texas","Taft","511 Wilburn St",4,1,27.9789074,-97.3986041
"October 12, 2018","South Carolina","Spartanburg","1620 John B White Sr Blvd",0,6,34.9495672,-81.9320482
"October 12, 2018","Nevada","Las Vegas","6500 block of W Charleston Blvd",0,4,36.1699412,-115.1398296
"October 8, 2018","Alabama","Birmingham","Joppa Ave",0,4,33.5185892,-86.8103567
"October 6, 2018","Oklahoma","Tulsa","9453 E 31st St",0,4,36.1539816,-95.992775
"October 6, 2018","Texas","Houston","6802 Cullen Blvd",1,3,29.7604267,-95.3698028
"October 6, 2018","California","Oakland","Williams St and Telegraph Ave",0,6,37.8043637,-122.2711137
"October 4, 2018","New Mexico","Espanola (Española)","1813 N Riverside Dr",1,3,35.9910383,-106.0818233
"October 4, 2018","Georgia","Swainsboro","Lucky St",0,4,32.5973856,-82.3337376
"October 3, 2018","Pennsylvania","Philadelphia","5101 Germantown Ave",1,4,39.9525839,-75.1652215
"October 3, 2018","South Carolina","Florence","932 Ashton Dr",2,6,34.1954331,-79.7625625
"October 1, 2018","Illinois","Chicago","500 block of S Michigan Ave",2,2,41.8781136,-87.6297982
"September 30, 2018","California","Compton","200 block N Long Beach Blvd",1,3,33.8958492,-118.2200712
"September 29, 2018","Florida","Orlando","1700 block of 24th St",1,4,28.5383355,-81.3792365
"September 28, 2018","Pennsylvania","Philadelphia","5100 block of Haverford Ave",2,2,39.9525839,-75.1652215
"September 24, 2018","Tennessee","Memphis","1528 Ragan St",3,2,35.1495343,-90.0489801
"September 23, 2018","California","Bakersfield","2600 block of Chandler Court",1,4,35.3732921,-119.0187125
"September 23, 2018","California","Baldwin Park","3700 block of Loma Lane",0,4,34.0852868,-117.9608978
"September 22, 2018","District of Columbia","Washington","1800 block of Benning Rd",0,4,38.9071923,-77.0368707
"September 22, 2018","New York","Hempstead","Dolan St",0,4,40.7062128,-73.6187397
"September 20, 2018","Maryland","Aberdeen","1501 Perryman Rd",4,3,39.5095556,-76.1641197
"September 20, 2018","New York","Syracuse","1317 Midland Ave",0,5,43.0481221,-76.1474244
"September 19, 2018","Wisconsin","Middleton","1850 Deming Way",1,4,43.0972174,-89.5042876
"September 19, 2018","Illinois","Chicago","W Cermak Rd and S State St",0,4,41.8781136,-87.6297982
"September 19, 2018","Pennsylvania","Masontown","1 E Church St",1,4,39.8467433,-79.8997755
"September 18, 2018","Louisiana","New Orleans (Algiers)","1100 block of Sumner St",0,4,29.9220105,-90.0139908
"September 18, 2018","Tennessee","Memphis","4622 Faronia Rd",0,4,35.1495343,-90.0489801
"September 17, 2018","Maryland","Silver Spring","123 Amberleigh Dr",4,1,38.9906657,-77.026088
"September 15, 2018","Wisconsin","Milwaukee","820 S 21st St",0,4,43.0389025,-87.9064736
"September 12, 2018","California","Bakersfield","660 Manwell Blvd",6,0,35.3732921,-119.0187125
"September 11, 2018","Illinois","Chicago","10600 block of S Bensley Avenue",0,4,41.8781136,-87.6297982
"September 10, 2018","Tennessee","Memphis","140 Lt George W Lee Ave",0,5,35.1495343,-90.0489801
"September 9, 2018","Alabama","Auburn","224 W Magnolia St",1,4,32.6098566,-85.4807825
"September 9, 2018","Florida","Jacksonville","N/A",0,4,30.3321838,-81.655651
"September 9, 2018","Illinois","Elgin","550 S McLean Blvd",1,3,42.0354084,-88.2825668
"September 7, 2018","Minnesota","Minneapolis","2024 N Washington Ave",1,3,44.977753,-93.2650108
"September 6, 2018","Ohio","Cincinnati","511 Walnut St",4,2,39.1031182,-84.5120196
"September 4, 2018","Georgia","Albany","1200 block of Gillespie Ave",0,4,31.5785074,-84.155741
"September 2, 2018","Arkansas","Fort Smith","801 Garrison Ave",0,4,35.3859242,-94.3985475
"September 2, 2018","Texas","San Antonio","600 block of Morningview St",0,4,29.4241219,-98.4936282
"September 2, 2018","Alabama","Birmingham","500 23rd St S",0,7,33.5185892,-86.8103567
"September 2, 2018","New Jersey","Paterson","43 12th Ave",2,2,40.9167654,-74.171811
"September 2, 2018","California","San Bernardino","1277 East Lynwood Drive",0,8,34.1083449,-117.2897652
"September 2, 2018","New Jersey","Trenton","Stuyvesant Ave and Bryn Mawr Ave",0,4,40.2205824,-74.759717
"September 1, 2018","Ohio","Cleveland","3232 Lakeside Ave East",1,7,41.49932,-81.6943605
"September 1, 2018","Florida","Fort Lauderdale (Lauderhill)","5225 NW 24th Ct",1,3,26.1403635,-80.2133808
"August 31, 2018","Colorado","Aurora","1900 block of Peoria St",2,3,39.7294319,-104.8319195
"August 27, 2018","Arkansas","Pine Bluff","2600 block of W 34th Ave",1,3,34.2284312,-92.0031955
"August 26, 2018","Florida","Jacksonville","2 Independent Dr",3,9,30.3321838,-81.655651
"August 26, 2018","Texas","Wichita Falls","2400 block of Sheppard Access Rd",1,3,33.9137085,-98.4933873
"August 25, 2018","Virginia","Richmond","4 N 18th St",0,5,37.5407246,-77.4360481
"August 25, 2018","Tennessee","Nashville","1564 9th Ave N",1,4,36.1626638,-86.7816016
"August 23, 2018","Pennsylvania","Philadelphia","5800 block of Oakland St",0,4,39.9525839,-75.1652215
"August 23, 2018","Maryland","Baltimore","1700 block of Homestead St",0,4,39.2903848,-76.6121893
"August 22, 2018","Missouri","Saint Louis","I-64 and Jefferson Ave",0,4,38.6270025,-90.1994042
